index,threshold,content_id
64,64,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-01-partners-of-ten/level-01
65,65,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-01-partners-of-ten/level-02
66,66,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-01-partners-of-ten/level-03
67,67,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-01-partners-of-ten/level-04
68,68,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-01-partners-of-ten/level-05
69,69,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-01-partners-of-ten/level-06
70,70,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-01-partners-of-ten/level-test
71,71,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-01
72,72,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-02
73,73,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-03
74,74,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-04
75,75,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-05
76,76,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-06
77,77,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-07
78,78,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-08
79,79,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-02-patterns-01/level-test
80,80,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-03-patterns-02/level-01
81,81,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-03-patterns-02/level-02
82,82,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-03-patterns-02/level-03
83,83,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-03-patterns-02/level-04
84,84,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-03-patterns-02/level-test
85,85,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-04-number-lines-addition/level-01
86,86,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-04-number-lines-addition/level-02
87,87,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-04-number-lines-addition/level-03
88,88,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-04-number-lines-addition/level-04
89,89,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-04-number-lines-addition/level-05
90,90,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-04-number-lines-addition/level-06
91,91,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-04-number-lines-addition/level-07
92,92,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-04-number-lines-addition/level-test
93,93,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-05-number-lines-subtraction/level-01
94,94,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-05-number-lines-subtraction/level-02
95,95,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-05-number-lines-subtraction/level-03
96,96,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-05-number-lines-subtraction/level-04
97,97,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-05-number-lines-subtraction/level-05
98,98,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-05-number-lines-subtraction/level-06
99,99,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-05-number-lines-subtraction/level-07
100,100,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-05-number-lines-subtraction/level-test
101,101,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-06-using-doubles/level-01
102,102,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-06-using-doubles/level-02
103,103,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-06-using-doubles/level-03
104,104,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-06-using-doubles/level-04
105,105,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-06-using-doubles/level-05
106,106,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-06-using-doubles/level-06
107,107,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-06-using-doubles/level-07
108,108,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-06-using-doubles/level-test
109,109,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-07-related-addition/level-01
110,110,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-07-related-addition/level-02
111,111,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-07-related-addition/level-03
112,112,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-07-related-addition/level-04
113,113,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-07-related-addition/level-test
114,114,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-08-related-subtraction/level-01
115,115,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-08-related-subtraction/level-02
116,116,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-08-related-subtraction/level-03
117,117,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-08-related-subtraction/level-04
118,118,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-08-related-subtraction/level-test
119,119,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-09-related-addition-and-subtraction/level-01
120,120,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-09-related-addition-and-subtraction/level-02
121,121,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-09-related-addition-and-subtraction/level-03
122,122,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-09-related-addition-and-subtraction/level-04
123,123,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-09-related-addition-and-subtraction/level-05
124,124,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-09-related-addition-and-subtraction/level-06
125,125,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-09-related-addition-and-subtraction/level-test
126,126,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-10-using-ten/level-01
127,127,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-10-using-ten/level-02
128,128,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-10-using-ten/level-03
129,129,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-10-using-ten/level-04
130,130,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-10-using-ten/level-05
131,131,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-10-using-ten/level-06
132,132,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-10-using-ten/level-test
133,133,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-11-add-up-to-ten/level-01
134,134,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-11-add-up-to-ten/level-02
135,135,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-11-add-up-to-ten/level-03
136,136,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-11-add-up-to-ten/level-04
137,137,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-11-add-up-to-ten/level-05
138,138,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-11-add-up-to-ten/level-test
139,139,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-01
140,140,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-02
141,141,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-03
142,142,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-04
143,143,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-05
144,144,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-06
145,145,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-07
146,146,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-08
147,147,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-12-adding-eight-nine/level-test
148,148,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-13-using-doubles-in-addition/level-01
149,149,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-13-using-doubles-in-addition/level-02
150,150,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-13-using-doubles-in-addition/level-03
151,151,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-13-using-doubles-in-addition/level-04
152,152,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-13-using-doubles-in-addition/level-05
153,153,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-13-using-doubles-in-addition/level-06
154,154,Anton:/../c-mat-1-us/topic-03-addition-and-subtraction-strategies/block-13-using-doubles-in-addition/level-test
155,155,Anton:/../c-mat-1-us/topic-04-comparing-numbers/block-01-order-numbers/level-02
